Image_Paths,Binary_Paths,Mask_Paths
/content/Master/train2017/000000419249.jpg,/content/Master/Binary_Masks/000000419249.png,/content/Master/panoptic_train2017/000000419249.png
/content/Master/train2017/000000042458.jpg,/content/Master/Binary_Masks/000000042458.png,/content/Master/panoptic_train2017/000000042458.png
/content/Master/train2017/000000111194.jpg,/content/Master/Binary_Masks/000000111194.png,/content/Master/panoptic_train2017/000000111194.png
/content/Master/train2017/000000156512.jpg,/content/Master/Binary_Masks/000000156512.png,/content/Master/panoptic_train2017/000000156512.png
/content/Master/train2017/000000240163.jpg,/content/Master/Binary_Masks/000000240163.png,/content/Master/panoptic_train2017/000000240163.png
/content/Master/train2017/000000432273.jpg,/content/Master/Binary_Masks/000000432273.png,/content/Master/panoptic_train2017/000000432273.png
/content/Master/train2017/000000199142.jpg,/content/Master/Binary_Masks/000000199142.png,/content/Master/panoptic_train2017/000000199142.png
/content/Master/train2017/000000333855.jpg,/content/Master/Binary_Masks/000000333855.png,/content/Master/panoptic_train2017/000000333855.png
/content/Master/train2017/000000153332.jpg,/content/Master/Binary_Masks/000000153332.png,/content/Master/panoptic_train2017/000000153332.png
/content/Master/train2017/000000517958.jpg,/content/Master/Binary_Masks/000000517958.png,/content/Master/panoptic_train2017/000000517958.png
/content/Master/train2017/000000235468.jpg,/content/Master/Binary_Masks/000000235468.png,/content/Master/panoptic_train2017/000000235468.png
/content/Master/train2017/000000355133.jpg,/content/Master/Binary_Masks/000000355133.png,/content/Master/panoptic_train2017/000000355133.png
/content/Master/train2017/000000122511.jpg,/content/Master/Binary_Masks/000000122511.png,/content/Master/panoptic_train2017/000000122511.png
/content/Master/train2017/000000330091.jpg,/content/Master/Binary_Masks/000000330091.png,/content/Master/panoptic_train2017/000000330091.png
/content/Master/train2017/000000496776.jpg,/content/Master/Binary_Masks/000000496776.png,/content/Master/panoptic_train2017/000000496776.png
/content/Master/train2017/000000560064.jpg,/content/Master/Binary_Masks/000000560064.png,/content/Master/panoptic_train2017/000000560064.png
/content/Master/train2017/000000523357.jpg,/content/Master/Binary_Masks/000000523357.png,/content/Master/panoptic_train2017/000000523357.png
/content/Master/train2017/000000348636.jpg,/content/Master/Binary_Masks/000000348636.png,/content/Master/panoptic_train2017/000000348636.png
/content/Master/train2017/000000426598.jpg,/content/Master/Binary_Masks/000000426598.png,/content/Master/panoptic_train2017/000000426598.png
/content/Master/train2017/000000442348.jpg,/content/Master/Binary_Masks/000000442348.png,/content/Master/panoptic_train2017/000000442348.png
/content/Master/train2017/000000439890.jpg,/content/Master/Binary_Masks/000000439890.png,/content/Master/panoptic_train2017/000000439890.png
/content/Master/train2017/000000410638.jpg,/content/Master/Binary_Masks/000000410638.png,/content/Master/panoptic_train2017/000000410638.png
/content/Master/train2017/000000322791.jpg,/content/Master/Binary_Masks/000000322791.png,/content/Master/panoptic_train2017/000000322791.png
/content/Master/train2017/000000411130.jpg,/content/Master/Binary_Masks/000000411130.png,/content/Master/panoptic_train2017/000000411130.png
/content/Master/train2017/000000018217.jpg,/content/Master/Binary_Masks/000000018217.png,/content/Master/panoptic_train2017/000000018217.png
/content/Master/train2017/000000371139.jpg,/content/Master/Binary_Masks/000000371139.png,/content/Master/panoptic_train2017/000000371139.png
/content/Master/train2017/000000144246.jpg,/content/Master/Binary_Masks/000000144246.png,/content/Master/panoptic_train2017/000000144246.png
/content/Master/train2017/000000047016.jpg,/content/Master/Binary_Masks/000000047016.png,/content/Master/panoptic_train2017/000000047016.png
/content/Master/train2017/000000211882.jpg,/content/Master/Binary_Masks/000000211882.png,/content/Master/panoptic_train2017/000000211882.png
/content/Master/train2017/000000498263.jpg,/content/Master/Binary_Masks/000000498263.png,/content/Master/panoptic_train2017/000000498263.png
/content/Master/train2017/000000138977.jpg,/content/Master/Binary_Masks/000000138977.png,/content/Master/panoptic_train2017/000000138977.png
/content/Master/train2017/000000449743.jpg,/content/Master/Binary_Masks/000000449743.png,/content/Master/panoptic_train2017/000000449743.png
/content/Master/train2017/000000444755.jpg,/content/Master/Binary_Masks/000000444755.png,/content/Master/panoptic_train2017/000000444755.png
/content/Master/train2017/000000354212.jpg,/content/Master/Binary_Masks/000000354212.png,/content/Master/panoptic_train2017/000000354212.png
/content/Master/train2017/000000520155.jpg,/content/Master/Binary_Masks/000000520155.png,/content/Master/panoptic_train2017/000000520155.png
/content/Master/train2017/000000090444.jpg,/content/Master/Binary_Masks/000000090444.png,/content/Master/panoptic_train2017/000000090444.png
/content/Master/train2017/000000378070.jpg,/content/Master/Binary_Masks/000000378070.png,/content/Master/panoptic_train2017/000000378070.png
/content/Master/train2017/000000459212.jpg,/content/Master/Binary_Masks/000000459212.png,/content/Master/panoptic_train2017/000000459212.png
/content/Master/train2017/000000371939.jpg,/content/Master/Binary_Masks/000000371939.png,/content/Master/panoptic_train2017/000000371939.png
/content/Master/train2017/000000028194.jpg,/content/Master/Binary_Masks/000000028194.png,/content/Master/panoptic_train2017/000000028194.png
/content/Master/train2017/000000402407.jpg,/content/Master/Binary_Masks/000000402407.png,/content/Master/panoptic_train2017/000000402407.png
/content/Master/train2017/000000061779.jpg,/content/Master/Binary_Masks/000000061779.png,/content/Master/panoptic_train2017/000000061779.png
/content/Master/train2017/000000012864.jpg,/content/Master/Binary_Masks/000000012864.png,/content/Master/panoptic_train2017/000000012864.png
/content/Master/train2017/000000424683.jpg,/content/Master/Binary_Masks/000000424683.png,/content/Master/panoptic_train2017/000000424683.png
/content/Master/train2017/000000574775.jpg,/content/Master/Binary_Masks/000000574775.png,/content/Master/panoptic_train2017/000000574775.png
/content/Master/train2017/000000381403.jpg,/content/Master/Binary_Masks/000000381403.png,/content/Master/panoptic_train2017/000000381403.png
/content/Master/train2017/000000350663.jpg,/content/Master/Binary_Masks/000000350663.png,/content/Master/panoptic_train2017/000000350663.png
/content/Master/train2017/000000498179.jpg,/content/Master/Binary_Masks/000000498179.png,/content/Master/panoptic_train2017/000000498179.png
/content/Master/train2017/000000397163.jpg,/content/Master/Binary_Masks/000000397163.png,/content/Master/panoptic_train2017/000000397163.png
/content/Master/train2017/000000095161.jpg,/content/Master/Binary_Masks/000000095161.png,/content/Master/panoptic_train2017/000000095161.png
/content/Master/train2017/000000218099.jpg,/content/Master/Binary_Masks/000000218099.png,/content/Master/panoptic_train2017/000000218099.png
/content/Master/train2017/000000167559.jpg,/content/Master/Binary_Masks/000000167559.png,/content/Master/panoptic_train2017/000000167559.png
/content/Master/train2017/000000496680.jpg,/content/Master/Binary_Masks/000000496680.png,/content/Master/panoptic_train2017/000000496680.png
/content/Master/train2017/000000032674.jpg,/content/Master/Binary_Masks/000000032674.png,/content/Master/panoptic_train2017/000000032674.png
/content/Master/train2017/000000389188.jpg,/content/Master/Binary_Masks/000000389188.png,/content/Master/panoptic_train2017/000000389188.png
/content/Master/train2017/000000051563.jpg,/content/Master/Binary_Masks/000000051563.png,/content/Master/panoptic_train2017/000000051563.png
/content/Master/train2017/000000500954.jpg,/content/Master/Binary_Masks/000000500954.png,/content/Master/panoptic_train2017/000000500954.png
/content/Master/train2017/000000189361.jpg,/content/Master/Binary_Masks/000000189361.png,/content/Master/panoptic_train2017/000000189361.png
/content/Master/train2017/000000022123.jpg,/content/Master/Binary_Masks/000000022123.png,/content/Master/panoptic_train2017/000000022123.png
/content/Master/train2017/000000065899.jpg,/content/Master/Binary_Masks/000000065899.png,/content/Master/panoptic_train2017/000000065899.png
/content/Master/train2017/000000410494.jpg,/content/Master/Binary_Masks/000000410494.png,/content/Master/panoptic_train2017/000000410494.png
/content/Master/train2017/000000110423.jpg,/content/Master/Binary_Masks/000000110423.png,/content/Master/panoptic_train2017/000000110423.png
/content/Master/train2017/000000549943.jpg,/content/Master/Binary_Masks/000000549943.png,/content/Master/panoptic_train2017/000000549943.png
/content/Master/train2017/000000167245.jpg,/content/Master/Binary_Masks/000000167245.png,/content/Master/panoptic_train2017/000000167245.png
/content/Master/train2017/000000526204.jpg,/content/Master/Binary_Masks/000000526204.png,/content/Master/panoptic_train2017/000000526204.png
/content/Master/train2017/000000048747.jpg,/content/Master/Binary_Masks/000000048747.png,/content/Master/panoptic_train2017/000000048747.png
/content/Master/train2017/000000401194.jpg,/content/Master/Binary_Masks/000000401194.png,/content/Master/panoptic_train2017/000000401194.png
/content/Master/train2017/000000289766.jpg,/content/Master/Binary_Masks/000000289766.png,/content/Master/panoptic_train2017/000000289766.png
/content/Master/train2017/000000210010.jpg,/content/Master/Binary_Masks/000000210010.png,/content/Master/panoptic_train2017/000000210010.png
/content/Master/train2017/000000313459.jpg,/content/Master/Binary_Masks/000000313459.png,/content/Master/panoptic_train2017/000000313459.png
/content/Master/train2017/000000540864.jpg,/content/Master/Binary_Masks/000000540864.png,/content/Master/panoptic_train2017/000000540864.png
/content/Master/train2017/000000498588.jpg,/content/Master/Binary_Masks/000000498588.png,/content/Master/panoptic_train2017/000000498588.png
/content/Master/train2017/000000559685.jpg,/content/Master/Binary_Masks/000000559685.png,/content/Master/panoptic_train2017/000000559685.png
/content/Master/train2017/000000545353.jpg,/content/Master/Binary_Masks/000000545353.png,/content/Master/panoptic_train2017/000000545353.png
/content/Master/train2017/000000190914.jpg,/content/Master/Binary_Masks/000000190914.png,/content/Master/panoptic_train2017/000000190914.png
/content/Master/train2017/000000146389.jpg,/content/Master/Binary_Masks/000000146389.png,/content/Master/panoptic_train2017/000000146389.png
/content/Master/train2017/000000280464.jpg,/content/Master/Binary_Masks/000000280464.png,/content/Master/panoptic_train2017/000000280464.png
/content/Master/train2017/000000462238.jpg,/content/Master/Binary_Masks/000000462238.png,/content/Master/panoptic_train2017/000000462238.png
/content/Master/train2017/000000063144.jpg,/content/Master/Binary_Masks/000000063144.png,/content/Master/panoptic_train2017/000000063144.png
/content/Master/train2017/000000064933.jpg,/content/Master/Binary_Masks/000000064933.png,/content/Master/panoptic_train2017/000000064933.png
/content/Master/train2017/000000317102.jpg,/content/Master/Binary_Masks/000000317102.png,/content/Master/panoptic_train2017/000000317102.png
